# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
noise exposure plan	plan d'exposition au bruit
noise immission	impact du bruit
noise legislation	législation en matière de bruit
noise level	niveau sonore
noise measurement	mesure du bruit
noise pollutant	polluant sonore
noise pollution	pollution sonore de l'environnement
noise protection	protection contre le bruit
noise reduction	réduction du bruit
noise spectrum	spectre de bruit
noise-free technology	technologie silencieuse
nomad	nomade
nomenclature	nomenclature
non-biodegradable pollutant	polluant non biodégradable
non-built-up area	zone peu construite
non-conventional energy	énergie non-conventionnelle
non-demesnial water	eau non domaniale
non-durable goods	bien non durable
non-ferrous metal	métal non ferreux
non-ferrous metal industry	industrie des métaux non ferreux
non-governmental organisation	organisation non gouvernementale
non-ionising radiation	rayonnement non-ionisant
non-metal	métalloïde ; non-métal
non-metallic mineral	minéral non métallique
non-polluting energy source	source d'énergie non polluante
non-polluting fuel	carburant non polluant
non-renewable energy resource	source d'énergie non renouvelable
non-renewable resource	ressource non renouvelable
non-residential building	bâtiment non résidentiel
non-returnable container	récipient à usage unique
non-target organism	organisme non cible
non-volatile substance	substance non volatile
norm	norme
nose	nez
nosotros ; we	nous
nostril	sierain
not	ne pas
note	note
nothing	ne rien ; rien
notice	avis
notification	notification
noun ; substantive	nom ; substantif ; substantiivi
novel	roman
nuclear accident	accident nucléaire
nuclear debate	débat sur le nucléaire
nuclear energy	énergie nucléaire
nuclear energy legislation	législation en matière d'énergie nucléaire
nuclear energy use	usage de l'énergie nucléaire
nuclear explosion (accident) ; nuclear explosion	explosion nucléaire (accident) ; explosion nucléaire
nuclear facility	installation nucléaire
nuclear fission	fission nucléaire
nuclear fuel	combustible nucléaire
nuclear fuel element	élément de combustible nucléaire
nuclear fusion	fusion nucléaire
nuclear hazard	danger nucléaire
nuclear physics	physique nucléaire
nuclear power plant	centrale nucléaire
nuclear reaction	réaction nucléaire
nuclear reactor	réacteur nucléaire
nuclear research centre	centre de recherche nucléaire
nuclear risk	risque nucléaire
nuclear safety	sécurité nucléaire
nuclear test	essai nucléaire
nuclear weapon	arme nucléaire
nucleic acid	acide nucléïque
nursery (plant breeding) ; nursery ; plant nursery	pépinière
nutcracker	casse-noix
nutrient	nutriment
nutrient balance	bilan nutritif
nutrient content	teneur en nutriments
nutrient cycle	cycle des substances nutritives
nutrient medium	milieu de culture (microbiologie) ; milieu de culture
nutrient removal	extraction des nutriments
nutrition	nutrition
nutritive value of food	valeur nutritive
oak	chêne
obesity	obésité
obey	obéir
objection	objection
obligation to inform	obligation d'information
obligation to label	obligation d'étiquetage
observation	observation
observation satellite	satellite d'observation
observatory	observatoire
obsolete	obsolète
obstacle ; obstruction	obstacle ; empêchement
occupational disease	maladie professionnelle
occupational health	hygiène du travail
occupational health care	service de médecine du travail
occupational medicine	médecine du travail
occupational safety	sécurité du travail
occupational safety regulation	réglementation de sécurité au travail
occupational status	statut professionnel
ocean ; sea ; body of water ; bounding main	itsaso ; océan
ocean circulation	circulation océanique
ocean current	courant océanique
ocean dumping	rejet en mer
ocean exploitation	exploitation des océans
ocean temperature	température de l'océan
ocean-air interface	interface air mer
oceanic climate	climat océanique
oceanography	océanographie
octave	octave
octopus	poulpe ; pieuvre
odour	odeur
off-peak travelling	voyage en période creuse
off-site	hors site
offence against the environment	atteinte à l'environnement
office	bureau
official duty	devoir officiel
official hearing	audience officielle
official language	langue officielle
offset policy (emissions trading)	politique de compensation (commerce des permis d'émissions)
offshore mining	extraction en mer
ohm	ohm
oil and fat industry	industrie des huiles et graisses
oil binding agent	agglutinant du pétrole
oil boom	barrière de confinement
oil disaster	désastre pétrolier
oil exploration	exploration des ressources pétrolières
oil extraction	extraction de pétrole
oil pipeline	oléoduc
oil pollution	marée noire
oil pollution abatement	réduction de la pollution par le pétrole
oil production (chain)	chaîne pétrolière
oil recovery vessel	navire dépollueur
oil refinery	raffinerie de pétrole
oil residue recuperation	récupération des résidus de pétrole
oil slick	nappe de pétrole
oil spill	déversement de pétrole
oil tanker	pétrolier
oil-based energy	énergie à base de pétrole
old hazardous site	site ancien dangereux
old landfill site	dépôt ancien
olfactory pollution	pollution olfactive
oligarchy	oligarchie
oligopoly	oligopole
olive	olive
olive oil mill wastewater	lies d'huile
omega	oméga
on-line service	service en ligne
on-site wastewater treatment	traitement des eaux usées sur site
oncology	oncologie
one	un
onion	oignon
ontogenesis ; ontogenesis ; ontogeny	ontogenèse ; ontogenèse
ontology	ontologie
open lawn	pelouse
open sea	haute mer
open sea fishing	pêche en haute mer
opencast mining ; open-pit mining	exploitation à ciel ouvert
opera	opéra
operating data	données d'exploitation
operetta	opérette
ophthalmology	ophtalmologie
opinion ; stance	opinion
opinion survey	sondage d'opinion
opium	opium
optics	optique
optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism	optimisme ; optimisme ; optimisme ; optimisme ; optimisme ; optimisme ; optimisme
or	ou
oral sex	sexualité orale ; sexe oral
orange	orange
orchestra	orchestre
orchid	orchidée
order	ordre
ordinance	ordonnance
ore	minerai
organ	organe
organelle	organite
organic carbon	carbone organique
organic chemistry	chimie organique
organic farming	agriculture biologique
organic matter	matière organique
organic nitrogen	azote organique
organic pollutant	polluant organique
organic pollution	pollution organique
organic solvent	solvant organique
organic substance	substance organique
organic waste	déchet organique
organisation (law)	société ; société (organisme)
organisation of teaching	organisation de l'enseignement
organisation of the legal system	organisation de la justice
organism	organisme
organochlorine compound	composé organochloré
organohalogen compound	composé organohalogèné
organoleptic property	propriété organoleptique
organometallic compound	composé organométallique
organonitrogen compound	composé organique azoté
organooxygen compound	composé organique oxygéné
organophosphorous compound	composé organophosphoré
organosulphur compound	composé organosulfuré
ornithology	ornithologie
orography	orographie
orphan	orphelin
orthography	orthographe
orthopteran	orthoptère
osmium	osmium
osmosis	osmose
ostrich	autruche
outer space (allocation plan) ; outer space	espace périurbain
ovary	ovaire
oven	four de cuisine
overburden	surcharge
overexploitation	surexploitation
overfertilisation	surfertilisation
overfishing	surpêche
overflow (outlet)	déversoir
overgrazing	surpâturage
overhead power line	ligne électrique aérienne
overpopulation	surpopulation
overturn (limnology)	brassage convectif
overwintering	hivernage
ovine	ovidé
owner	propriétaire
ownership	propriété
oxidation	oxydation
oxidation-reduction	oxydoréduction
oxide	oxyde
oxidisable material	matière oxydable
oxidising agent	agent oxydant
oxygen	oxygène
oxygen content	teneur en oxygène
oxygenation	oxygénation
oyster	huître ; huitre
oyster farming	ostréiculture
ozone	ozone
ozone depletion potential	potentiel d'appauvrissement de l'ozone
ozone layer	couche d'ozone
ozone layer depletion	appauvrissement de la couche d'ozone
ozonisation	ozonation
pacifist	pacifiste
packaging	emballage
packaging waste	déchet d'emballage
packing industry	industrie de l'emballage
paediatrician	pédiatre
page	page
paint	peinture
paint room	atelier de peinture
paint shop	magasin de peinture
painting business	entreprise de peinture
palaeoclimatology	paléoclimatologie
palaeoecology	paléoécologie
palaeontology	paléontologie
palindrome	palindrome
palladium	palladium
palm	palmier
palm	paume
pancreas	pancréas
pandemic	pandémie
paper	papier
paper industry	industrie papetière
parabola	parabole
parachute	parachute
parameter	paramètre
parasite	parasite
parasitology	parasitologie
parking provision	place de stationnement
parliamentary debate	débat parlementaire
parliamentary report	rapport parlementaire
parrot	perroquet
part of speech ; lexical category	espèce ; nature ; parties du discours ; partie du discours ; catégorie grammaticale ; classe lexicale
partially halogenated chlorofluorohydrocarbon	hydrocarbures chlorofluorés
participation	participation
particle	particule
particle separator	séparateur de particules
party ; political party	parti politique ; parti
passenger transport	transport de voyageurs
paste-like waste	déchet pâteux
pasture	pâturage
patent	brevet d'invention
path	sentier
pathogen	agent pathogène
pathogenic organism	organisme pathogène
pathologic effect	effet pathologique
pathology	pathologie
patrimonial management	gestion patrimoniale
pattern recognition	reconnaissance de formes
pay policy	politique des salaires
peace	paix
peacekeeping	maintien de la paix
pear	poire
peat	tourbe
peat extraction	extraction de tourbe
pedagogy	pédagogie
pedestrian zone ; pedestrian area ; car-free zone ; auto-free zone ; pedestrianised zone	zone piétonnière ; zone piétonne ; zone pour piétons ; plateau piétonnier
pedosphere	pédosphère
penalty	pénalité
penalty for environmental damage	sanctions pour atteinte à l'environnement
pencil	crayon
penguin	manchot
peninsula	péninsule
pentachlorophenol	pentachlorophénol
people	gens
per capita data	données par individu
percolating water	eau d'infiltration
perineum	périnée
periodic table	tableau périodique ; tableau périodique des éléments
peripheral park area	zone périphérique de parc
periphyton	périphyton
periurban space	espace périurbain
permeability	perméabilité
permissible exposure limit	limite acceptable d'exposition
permission	autorisation
peroxyacetylnitrate	nitrate de peroxyacétyle
persistant organic pollutant	polluant organique persistant
persistence	persistance
persistence of pesticides	persistance des pesticides
person	personne
personal responsibility	responsabilité personnelle
pessmism	pessimisme
pest	déprédateur
pest control	lutte antiparasitaire
pest infestation	infestation parasitaire ; infestation parasitaire
pesticide	pesticide
pesticide control standard	norme de contrôle des pesticides
pet	animal domestique
petition	pétition
petition right	droit de pétition
petrochemical	produit pétrochimique
petrochemical industry	industrie pétrochimique
petrol	essence
petroleum	pétrole ; or noir
petroleum consumption	consommation de pétrole
petroleum industry	industrie pétrolière
phanerogam ; spermatophyte	phanérogame
pharmaceutical industry	industrie pharmaceutique
pharmaceutical waste	déchet pharmaceutique
pharmacokinetics	pharmacocinétique
pharmacology	pharmacologie
pheasant	faisan
phenol	phénol
pheromone	phérormone
philology	philologie
philosophy	philosophie
phishing	phishing ; hameçonnage
phobia	phobie
phone ; telephone	téléphone
phonetics	phonétique
phosphate	phosphate
phosphate removal	déphosphatation
phosphate substitute	substitut du phosphate
phosphatic fertiliser	engrais phosphate
phosphorus	phosphore
photo ; photograph	photo ; photographie
photochemical agent	réactif photochimique
photochemical oxidant	oxydant photochimique
photochemical pollution	pollution photochimique
photochemical product	produit photochimique
photochemical reaction	réaction photochimique
photochemical smog	smog photochimique
photodegradation	photodécomposition
photogrammetry	photogrammétrie
photography	photographie
photon	photon
photosynthesis	photosynthèse
physical alteration	altération physique
physical chemistry	physicochimie
physical conditions	condition physique
physical geography	géographie physique
physical measurement of pollution	mesure physique de la pollution
physical planning	planification de l'espace physique
physical pollutant	polluant physique
physical pollution	pollution physique
physical process	processus physique
physical property	propriété physique
physical science	science physique
physical treatment	traitement physique
physicochemical analysis	analyse physico-chimique
physicochemical process	processus physico-chimique
physicochemical purification	épuration physicochimique
physicochemical treatment	traitement physicochimique
physics	physique
physiology	physiologie
phytomass	phytomasse
phytopathology	phytopathologie
phytoplankton	phytoplancton
phytosanitary treatment	traitement phytosanitaire
phytosociology	phytosociologie
phytotoxicity	phytotoxicité
piano ; pianoforte	piano-forte ; forte-piano ; piano
pickling plant	atelier de décapage
pigeon ; dove	colombe
piggery	porcherie
pike ; spear	lance
pilot plant	installation pilote
pilot project	projet pilote
pilotage	pilotage
pinniped	pinnipèdes
pino ; pine	pin
pipe	tuyau ; conduit
pipeline	oléoduc ; pipeline
pituitary gland	hypophyse
pity ; compassion	compassion
pixel	pixel
pizza	pizza
place ; location	lieu
placenta	placenta
plain	plaine
plan	plan
plane	plan
plane source	source plane (d'émissions)
planet	planète
plankton	plancton
planning	planification
planning law	législation sur la planification
planning measure	mesure d'aménagement du territoire
planning permission	permis d'aménagement
plant	plante
plant biology	biologie végétale
plant breeding	sélection des plantes
plant community	communauté végétale
plant component	partie de la plante
plant disease	pathologie végétale
plant ecology	écologie végétale
plant equipment	équipement d'usine
plant heritage	patrimoine végétal
plant physiology	physiologie des plantes
plant population	population végétale
plant production	production végétale
plant protection	protection des plantes
plant protection product	produit phytosanitaire
plant reproduction	reproduction végétale
plant resource	ressource végétale
plant selection	amélioration des plantes
plant species	espèce végétale
plant species reintroduction	réintroduction d'espèces végétales
plant textile fibre	fibre textile végétale
plant trade	commerce des plantes
planting	plantation (d'arbres) ; plantation
plasma technology	technologie du plasma
plastic	plastique
plastic waste	déchets plastiques
platinum	platine
platitude ; cliche ; cliché	cliché
pleasure cruising	croisière de plaisance
plough	charrue
plutonium ; plutonium ; plutonium	plutonium ; plutonium ; plutonium
point	point
point source	source (d'émissions) ponctuelle
poison	poison
poisoning	empoisonnement
polar bear	ours blanc
polar region	région polaire
polder	polder
police	police
police law	loi de police
police power	pouvoir de police
policy	politique
policy guideline	règle politique
policy instrument	instrument politique
policy integration	intégration stratégique
policy planning	planification politique
political counselling	activité de conseil dans le domaine politique
political doctrine	doctrine politique
political ecology	écologie politique
political geography	géographie politique
political ideology	idéologie politique
political organisation	organisation politique
political power	pouvoir politique
politics	politique
pollen	pollen
pollutant	polluant
pollutant absorption	absorption de polluant
pollutant accumulation	accumulation de polluant
pollutant analysis	analyse de polluant
pollutant assessment	évaluation des polluants
pollutant concentration	concentration de polluant
pollutant degradation	dégradation des polluants
pollutant deposition	retombée des polluants
pollutant dispersion	diffusion de polluant
pollutant distribution	distribution des polluants
pollutant elimination	élimination de polluant
pollutant emission	émission de polluant
pollutant evolution	évolution des polluants
pollutant exposure	exposition aux polluants
pollutant flow	flux de polluant
pollutant formation	formation des polluants
pollutant immission	immission des polluants
pollutant immobilisation	immobilisation des polluants
pollutant migration	migration de polluant
pollutant monitoring	surveillance des polluants
pollutant pathway	cheminement des polluants
pollutant reduction	diminution de la quantité de polluants
pollutant remobilisation	remise en mouvement des polluants
polluted matter	matière polluée
polluted site	site pollué
polluter-pays principle	principe pollueur payeur
pollution	pollution
pollution abatement	réduction de la pollution
pollution abatement equipment	moyens de réduction de la pollution
pollution abatement waste	déchet d'action de dépollution
pollution control	lutte contre la pollution
pollution control equipment	équipement de lutte contre la pollution
pollution control investment	investissement antipollution
pollution control measure	mesure de lutte contre la pollution
pollution control technology	technologie de  lutte contre la pollution
pollution cost	coût de la pollution
pollution effect	effet de pollution
pollution indicator	indicateur de pollution
pollution insurance	assurance pollution
pollution liability	responsabilité de la pollution
pollution load	charge polluante
pollution measurement	mesure de pollution
pollution monitoring	surveillance de la pollution
pollution norm	norme de pollution
pollution prevention	prévention des pollutions
pollution risk	risque de pollution
pollution type	type de pollution
polonium	polonium
polybrominated biphenyl	polybromobiphényle
polychlordibenzo-p-dioxin	dioxine-p de dibenzofuranne polychloré
polychlorinated biphenyl	polychlorobiphényle
polychlorinated dibenzofuran	polychlorodibenzofurane
polychlorinated terphenyl	polychloroterphényle
polycyclic aromatic hydrocarbon	hydrocarbure aromatique polycyclique
polycyclic hydrocarbon	hydrocarbure polycyclique
polyethylene terephtalate	polyéthylène téréphtalate
polygon	polygone
polymer	polymère
polymerisation	polymérisation
polyvinyl chloride	polychlorure de vinyle
pomegranate	grenade
pond	étang
pool ; puddle ; puddle	mare ; flaque ; flaque
pope	pape
population	population
population density	densité de population
population dynamics	dynamique de population
population ecology	écologie des populations
population growth	accroissement de la population
population movement	mouvement de population
population structure	structure de la population
population trend	évolution démographique
porcelain	porcelaine
poriferan	éponge
posidonia ; neptunegrass	posidonie
positron	positron
possession	possession
post office	poste
post-treatment	post-traitement
posterity	postérité
postman	facteur
potash	potasse
potassium	potassium
potassium fertiliser	engrais potassique
potato ; patato	pomme de terre ; patate ; patate
poultry	volaille
poultry farming	ferme avicole
poverty	pauvreté
power (physics) ; power	puissance
power company	compagnie d'électricité
power station	centrale électrique
power station derating	déclassement de centrale
power-heat relation	ratio chaleur/ énergie fournie
pragmatics	pragmatique
praseodymium	praséodyme
pre-emption	préemption
pre-emption zone	zone de préemption
precautionary principle	principe de précaution
precipitation ; precipitation (chemical)	précipitation (chimique) ; précipitation
precipitation enhancement	intensification des précipitations
precision engineering	mécanique de précision
predator	prédateur
prefabricated building	bâtiment préfabriqué
pregnancy	grossesse ; gestation
prelate	prélat
preliminary proceedings	procédure préliminaire
premium	prime
preparation for market	conditionnement
preposition	préposition
prescription	prescription
preservation of evidence	conservation de la preuve
preservative	agent conservateur
preserve	conserve
president	président
press	presse écrite
pressing	pressage
pressure	pression
pressure equipment	équipement sous pression
pressure group	groupe de pression
prevention measure	mesure de prévention
prevention of forest fires	prévention des incendies de forêt
preventive health measure	mesure préventive en matière de santé
preventive information	information préventive
price	prix
prices policy	politique des prix
pricing policy of resources	politique de prix des ressources
primary education	enseignement primaire
primary energy consumption	consommation d'énergie primaire
primary forest	forêt primaire
primary sector	secteur primaire
primary treatment	traitement primaire
primate	primates
prime number ; prime	nombre premier
prince	prince
principle of sustainability	principe de durabilité
printing work	imprimerie
prisoner of war ; POW ; PoW ; PW	prisonnier de guerre
private car	véhicule personnel
private domain	domaine privé
private forest	forêt privée
private household	ménage particulier
private international law	droit privé international
private law	droit privé
private sector	secteur privé
private transport	transport privé
privatisation	privatisation
problem	problème ; hic
proboscidean	proboscidiens
procaryote	procaryotes
procedural law	droit procédural
process analysis	analyse de filière
process technology	technologie des processus
process water	eau de traitement
processed agricultural produce	produit agricole transformé
processed foodstuff	aliment transformé
processing	traitement
producer liability	responsabilité du producteur
product	produit
product advertising	publicité pour un produit
product comparison	comparaison de produits
product evaluation	évaluation de produits
product identification	identification de produits
product information	information sur les produits
product liability	garantie produits
product life cycle	cycle de vie d'un produit
product standard	norme de produit
production policy	politique de production
productivity	productivité
productivity trend	évolution de la productivité
profit	bénéfice
prognostic data	prognostique
programme	programme
progress line	courbe de progression
prohibition	interdiction
project	projet
promethium	prométhium ; prométhéum
promotion of trade and industry	promotion du commerce et de l'industrie
pronunciation	prononciation
propagation process	processus de propagation
propellant	gaz propulseur
properties of materials	caractéristiques des matériaux
property ; asset	propriété
property protection	protection de la propriété
propulsion technique	technique de propulsion
prosecution	poursuite
prosperity	prospérité
prostate	prostate
prostitution	prostitution
protactinium	protactinium
protected area	espace protégé
protected landscape	site naturel protégé
protected marine zone	zone marine protégée
protected species	espèce protégée
protection from neighbours	protection contre les voisins
protection of animals	protection des animaux
protection of birds	protection des oiseaux
protection of species	protection des espèces
protection system	système de protection
protective measure	mesure de protection
protein ; poly peptide	protéine
protein product	produit protéique
protocol	protocole
protozoan	protozoaire
proverb ; saying ; maxim	proverbe
province	province
provincial/regional authority (D) ; regional authority ; provincial authority	autorité régionale
provincial/regional law (D) ; regional legislation	législation régionale
pruning	élagage
psychiatrist	psychiatre
psychic effect	effet psychique
psychological effect	effet psychologique
psychological stress	stress psychologique
psychology	psychologie
psychosomatic effect	effet psychosomatique
psychosomatic illness	maladie psychosomatique
public	public
public access to land	accès public aux terres
public action	action publique
public aid	aide publique
public attendance	fréquentation du public
public awareness campaign	sensibilisation du public
public bath	bains publics
public benefit inquiry	enquête d'utilité publique
public building	bâtiment public
public contract	marché public
public debt	dette publique
public discussion	débat public
public domain	domaine public
public expenditure	dépense publique
public finance	finances publiques
public financing	financement public
public function	fonction publique
public health	santé publique
public hearing	audition publique
public information	information du public
public inquiry	enquête publique
public institution	établissement public
public institution of administrative nature	établissement public à caractère administratif
public institution of industrial and commercial nature	établissement public à caractère industriel et commercial
public international law	droit international public
public law	droit public
public maritime domain	domaine public maritime
public opinion	opinion publique
public opinion polling	sondage d'opinion
public park	parcs et jardins publics
public participation	participation publique
public procurement	secteur des marchés publics
public prosecutor's office	parquet
public relations	relation publique
public sector	secteur public
public transport	transport en commun
public transport vehicle	véhicule de transport en commun
public utility	entreprise de service public
public waterways domain	domaine public fluvial
public works	travaux publics
public-private partnership	partenariat public / privé
pulmonary disease	maladie pulmonaire
pump	pompe
pumping	pompage
purification	épuration
purification facility	dispositif d'épuration
purification plant	station d'épuration
purification through the soil	épuration par le sol
purifying power	pouvoir épurateur
purin	purine
putsch ; coup d'état	putsch ; putsch ; coup d'état ; coup d'État
pyralene	pyralène
pyrolysis	pyrolyse
quadrilateral	quadrilatère
quality assurance	assurance de qualité
quality certification	certification qualité
quality control	contrôle qualité
quality objective	objectif de qualité
quality of life	qualité de vie
quality standard	norme de qualité
quarry	carrière
quarrying	exploitation de carrière
quartering	équarrissage
queen	reine
question	question
rabbi	rabbin
rabbit	lapin
race relations	relation interraciale
racking	décantation
radar	radar
radiation ; radiations	rayonnement ; rayonnements
radiation damage	dommage dû au rayonnement
radiation dose	dose de radiations
radiation effect	effet des radiations
radiation exposure	exposition aux rayonnements
radiation physics	physique des rayonnements
radiation protection	radioprotection
radiation protection law	loi relative à la protection contre le rayonnement
radiation sickness	maladie due aux radiations
radio	radio
radio programme	programme radio
radioactive contamination	contamination radioactive
radioactive decontamination	décontamination radioactive
radioactive dumping	décharge de déchêts radioactifs
radioactive emission	émission radioactive
radioactive fallout	retombée radioactive
radioactive pollutant	polluant radioactif
radioactive substance	substance radioactive
radioactive tracer	traceur radioactif
radioactive waste ; nuclear waste	déchet radioactif
radioactivity ; radioactive decay	radioactivité
radioelement	radioélément
radiology	radiologie
radionuclide	radionucléide
radium	radium
radon	radon
rag	chiffon
rail traffic	trafic ferroviaire
rail transport	transport ferroviaire
railroad vehicle ; carriage ; wagon	véhicule ferroviaire ; wagon
railway	voie ferrée ; chemin de fer
railway network	réseau ferroviaire
railway station	gare ferroviaire
rain	flotte ; pluie
rain forest	forêt pluviale
rain water	eau pluviale
rain water sewer system	système de canalisation des eaux de pluie
rainbow	arc-en-ciel
rainout	piégeage de particules par des gouttes
raising a site	surélever un site
random test	test aléatoire
rape	colza
rapid test	test rapide
rapid transit train	train interurbain rapide
rare species	espèce rare
raster	trame
raster to vector	trame en vecteur
rate	taux
raw material	matière première
raw material consumption	consommation de matières premières
raw material securing	protection des matières premières
raw water	eau non traitée
reaction kinetics	cinétique des réactions
reactor	réacteur
reactor safety	sûreté des réacteurs
read	lire
reality	realité
reasonableness	acceptabilité
recipe	recette
reclamation industry	industrie de la récupération
recombinant DNA technology	technologie de l'ADN recombinant
recommendation	recommandation
recorder	flûte à bec
recording of substances	répertorier les substances
recovery of landscape	rétablissement du paysage
recovery plan	stratégie de recyclage
recreation	récréation
recreational area	espace de loisirs
recyclability	recyclabilité
recyclable plastic	plastique recyclable
recycled material	matière recyclée
recycled paper	papier recyclé
recycling	recyclage
recycling management and waste law	loi sur la gestion du recyclage et les déchets
recycling potential	potentiel de recyclage
recycling ratio	rapport de recyclage
red kite	milan royal
red tide	marée rouge
redress	recours
reed	roseau
reef	récif
reference service	service de référence
referendum ; plebiscite	référendum
referral information	information d'orientation
referral information system	système d'informations de référence
refinery	raffinerie
refining	raffinage
reflection	réflexion
reflectometry	étude de la lumière réfléchie ; réflectométrie
reforestation	reboisement
refrigerant	réfrigérant
refrigeration	réfrigération
refrigeration industry	industrie du froid
refrigerator	réfrigérateur
refrigerator ; fridge	réfrigérateur
refuge	zone de refuge
refugee	réfugié
refuse collection vehicle	véhicule de collecte des ordures
refuse derived fuel	déchet combustible
refuse shredder	détritus de déchiquetage
refuse-sludge compost	compost de boues résiduaires
regeneration	régénération
region	région
regional authority	autorité régionale
regional convention	convention régionale
regional development	développement régional
regional law	loi régionale
regional natural park	parc naturel régional
regional plan	schéma régional
regional planning	planification régionale
regional regulation	règlement régional
regional statistics	statistiques régionales
regional structure	structure régionale
registered site	site inscrit
registration	enregistrement
registration obligation	obligation d'enregistrement
registration proceeding	procédure d'enregistrement
regulation	règlement
regulation of agricultural production	réglementation de la production agricole
regulation on maximum permissible limits	règlement sur les valeurs maximales admissibles
regulative law	loi normative
rehousing	relogement
reindeer	renne
reintroduction	réintroduction
relational database	base de données relationnelle
release of organisms	dissémination d'organismes
relief (land)	relief
religion	religion
remote sensing	télédétection
remote sensing centre	centre de télédétection
removal	élimination
renaissance	renaissance
renaturation	rétablissement de l'état naturel
renewable energy source	source d'énergie renouvelable
renewable raw material	matière première renouvelable
renewable resource	ressource renouvelable
repair business	entreprise de réparation
replacement	substitution
replacement cost	frais de remplacement
report on the state of the environment	rapport sur l'état de l'environnement
report to the minister	rapport au ministre
reporting process	processus de suivi
representation	représentation
repression	répression
reprocessing	retraitement du combustible irradié
reproduction	reproduction
reproductive manipulation	manipulation génétique
reptile ; reptile ; reptile	reptile ; reptile ; reptile
rescue service	service de secours
rescue system	système de secours
research	recherche
research centre	centre de recherche
research of the effects	recherche des effets
research policy	politique de la recherche
research project	projet de recherche
reserve	réserve
reservoir	bassin de retenue
residential area	zone résidentielle
residential area with traffic calmings	mesures de réduction de vitesse en zone résidentielle
residential building	bâtiment d'habitation
residual amount of water	quantité résiduelle d'eau
residual pesticide	résidu de pesticide
residual risk	risque résiduel
residual waste	déchêt résiduel
residual waste sludge	boue résiduaire
residue analysis	analyse des résidus
residue of grinding	résidu de broyage
residue recycling	recyclage des résidus
resin	résine
resinous plant	résineux
resistance (biological) ; resistance	résistance (biologique) ; résistance
resolution	résolution
resolution ; resolution (parameter)	résolution ; résolution (paramètres)
resorption	résorption
resource ; resources	ressources
resource appraisal	évaluation des ressources
resource conservation	conservation des ressources
resource exploitation	exploitation des ressources
resource reserve	réserve de ressources
resource utilisation	utilisation des ressources
resources management	gestion des ressources
respiration	respiration
respiratory air	air respiratoire
respiratory disease	maladie respiratoire
respiratory system	système respiratoire
retaining reservoir	retenue d'eau
reverse osmosis	osmose inverse
rhenium	rhénium
rhino ; rhinoceros	rhinocéros
rhodium	rhodium
rhombus ; rhomb	losange
rice	riz
rice	riz ; grain de riz ; grain de riz
rising sea level	élévation du niveau de la mer
risk communication	communication en matière de risques
river	fleuve ; rivière
river bed	lit de cours d'eau
river water	eau fluviale
road	route
road network	réseau routier
road salt	sel d'épandage
rock	roche
rodent	rongeur
roentgenium	roentgenium
rolling noise	bruit de roulement
roof ; roof ; roof	toit ; toit ; toit
root	racine
rosary	rosaire
rose	rose
rotary furnace	four tournant
route	itinéraire
rubber	caoutchouc
rubidium	rubidium
ruby	rubis
rural area	espace rural
ruthenium	ruthénium
rutherfordium	rutherfordium
sacrifice	sacrifice
safety ; security	sécurité
safety measure	mesure de sécurité
sahara	sahara ; Sahara ; désert du Sahara
sailing ship	navire à voile ; voilier
salamander	salamandre
salary	salaire
salmon	saumon
salt	sels
salt	sel ; sel de table ; sel alimentaire ; sel de cuisine
salt water	eau salée
samarium	samarium
sand	sable
sand dune	dune de sable
sanitary fitting	équipement sanitaire
sapphire	saphir
sardine	sardine
satellite	satellite
sawdust	sciure
saxophone	saxophone
say	dire
scandium	scandium
school	école ; établissement scolaire
science	science
scientific co-operation	coopération scientifique
scientific dispute	controverse scientifique
scientific research	recherche scientifique
scientist	scientifique
screw	vis ; vis de fixation
screwdriver	tournevis
sculptor	sculpteur
sea	mer ; mer
sea level	niveau de la mer
sea water	eau de mer
seaborgium	seaborgium
seashore	littoral maritime
season	saison
secondary education	enseignement secondaire
secret	secret
sediment	sédiment
sedimentation (geology) ; sedimentation	sédimentation
sedimentology	sédimentologie
see	voir
seed	graine
seed	semence
seismic activity	activité sismique
seismic sea wave ; tsunami	raz de marée
selenium	sélénium
sell	vendre
semantics	sémantique
semi-metal	métalloïde ; semi-métal
semiconductor	semi-conducteur
separator	séparateur
server	serveur
sew	coudre
sewage farm	champ d'épandage
sex ; gender	sexe ; genre
sexology	sexologie
sextant	sextant
shark	requin
sheep	mouton
shellfish ; shellfish	coquillage
shepherd	berger ; pasteur
ship	bateau
shoe	chaussure ; pompe ; soulier ; godasse ; grolle ; tatane
shop	boutique ; commerce ; magasin
shopping centre	centre commercial
short ; small	petit
shrub	arbuste ; arbrisseau
side effect	effet secondaire ; effet concomitant
sign language	langue des signes
silicon	silicium
silk	soie
silt	limon
silver	argent
simulation	simulation
skeleton	squelette
ski run	piste de ski
skiing	skier ; ski
skin	peau
skull	crâne
slag	scorie
slaughter	abattre
slaughter-house	abattoir
slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles	abattoir
sleep	dodo ; repos ; sommeil
sleep disturbance	trouble du sommeil
