# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
fog	Nebel
foliage	Laub
folk tradition	Volkstradition
folklore	Folklore
food	Essen ; Nahrung
food additive	Lebensmittelzusatzstoff
food chain	Nahrungskette
food commerce	Nahrungsmittelgewerbe
food contamination	Lebensmittelkontamination
food hygiene	Lebensmittelhygiene
food industry	Lebensmittelindustrie
food irradiation	Lebensmittelbestrahlung
food pollutant	Lebensmittelverunreinigung
food preservation	Lebensmittelkonservierung
food processing industry	Lebensmittelindustrie
food production (agriculture) ; food production	Lebensmittelerzeugung ; Nahrungsmittelproduktion
food quality	Lebensmittelqualität
food requirement	Nahrungsmittelbedarf
food science	Lebensmittelkunde
food storage	Lebensmittellagerung
food technology	Lebensmitteltechnologie
food transport	Lebensmitteltransport
foodstuff	Lebensmittel
foot	Fuß
football	Fussball ; Fußball
footpath	Fußweg
forage contamination	Futtermittelkontamination
forage crop	Futterpflanze
forage law	Futtermittelgesetz
ford	Furt
forecast	Vorhersage
foreclosure	Präklusion
foreign	ausländisch ; fremd ; fremdländisch
foreign economic relations	Außenwirtschaftsbeziehungen
foreign policy	Außenpolitik
foreign trade	Außenhandel
forest	Forst ; Wald
forest biological reserve	biologisches Forstreservat
forest cover destruction	Zerstörung der Waldbedeckung
forest damage	Waldschaden
forest deterioration	Waldsterben
forest ecology	Waldökologie
forest ecosystem	Waldökosystem
forest exploitation	Forstnutzung
forest fire	Waldbrand
forest industry	Forstindustrie
forest management	Forstwirtschaft
forest pest	Forstschädling
forest policy	Forstpolitik
forest product	forstwirtschaftliches Erzeugnis
forest production	forstwirtschaftliche Produktion
forest protection	Waldschutz
forest reserve	Waldschutzgebiet
forest resource	Waldbestand
forestry	Forstwirtschaft
forestry economics	Forstökonomie
forestry law	Forstgesetz
forestry legislation	Forstrecht
forestry practice	Waldwirtschaft
forestry unit	Forstbetriebsgemeinschaft
fork	Gabel
form of government	Staatsform
forwarding agent	Spediteur
fossil	Fossil
fossil fuel	fossiler Brennstoff
fouling growth	Fouling
fountain	Fontäne ; Springbrunnen
four	vier
four	Vier
four stroke engine	Viertaktmotor ; Viertakter
fracture	Fraktur
framework legislation	Rahmengesetzgebung
francium	Frankium ; Frankium ; Francium
fraud	Betrug
free movement of capital	freier Kapitalverkehr
free trade	Handelsfreiheit ; Freihandel
freedom	Freiheit
freedom ; liberty	Freiheit
freedom of speech ; freedom of speech	Meinungsfreiheit ; Redefreiheit ; Redefreiheit
freight transport	Gütertransport
freon	Freon
freshwater	Süßwasser
freshwater degradation	Süßwasserdegradation
freshwater ecosystem	Süßwasserökosystem
freshwater organism	Süßwasserorganismen
freshwater pollution	Süßwasserverschmutzung
freshwater resource	Süßwasserressourcen
frog	Frosch
frost	Frost
fruit	Frucht
fruit cultivation	Obstbau
fruit tree	Obstbaum
fuel	Brennstoff
fuel additive	Kraftstoffzusatz
fuel alcohol	Ethanol-Kraftstoff
fuel cell	Brennstoffzelle
fuel composition	Brennstoffzusammensetzung
fuel consumption	Kraftstoffverbrauch
fuel oil	Heizöl
fuel tank installation	Tankanlage
fuel wood	Brennholz
full	voll ; beladen
fume	Rauch ; Schwaden ; αιθάλη
fumigation	Begasung
functional substance	Stoffe (funktionsbezogen)
fundamental	fundamental ; grundlegend
funeral	Beerdigung ; Begräbnis ; Beisetzung ; Bestattung ; Begängnis ; Leichenbegängnis
fungicide	Fungizid
fungus	Pilz
fur	Pelz
fur animal	Pelztier
furan	Furan
furnace	Industrieofen ; Ofen ; Ziegelbrennerei
furniture	Möbel
furniture industry	Möbelindustrie
furriery	Kürschnerei
gadolinium	Gadolinium
gallbladder	Gallenblase
gallinacean	Hühnervögel
gallium	Gallium
galvanisation	Galvanotechnik
game	Spiel
game	Fisch ; Wild ; Wildbret
gamma radiation	Gammastrahlung ; γ-Strahlung
gangrene	Gangrän
garage	Garage
garden	Garten
garden waste	Gartenabfall
gardener	Gärtner
gas	Gas
gas chromatography	Gaschromatographie
gas company	Gaswirtschaft
gas engine	Gasmotor
gas liquefaction	Gasverflüssigung
gas mixture	Gasgemisch
gas network	Gasnetz
gas pipeline	Gasrohrleitung
gas powered plant	Gaskraftwerk
gas purification	Gasreinigung
gas reservoir	Gasspeicher
gas supply	Gasversorgung
gaseous air pollutant	gasförmige Luftverunreinigungen
gaseous state	gasförmiger Zustand
gasification	Vergasung
gasohol	Gasohol
gasoline engine	Ottomotor
gastrointestinal tract ; alimentary canal	Verdauungstrakt ; Verdauungsapparat ; Magen-Darm-Trakt ; Gastrointestinaltrakt
gastropod	Schnecke
gaswork	Gaswerk
gene	Gen
genealogy	Genealogie
general	allgemein ; generell
general	General
general administrative order	allgemeine Verwaltungsmaßnahme
general chemistry	allgemeine Chemie
general education	Allgemeinbildung
genetic diversity	genetische Vielfalt
genetic effect	genetische Wirkung
genetic engineering	Gentechnik
genetic engineering legislation	Gentechnikrecht
genetic information	genetische Information
genetic modification	Genmutation
genetic pool ; gene pool	Genpool
genetic resource	genetische Ressourcen
genetic variation	genetische Variation
genetically modified organism	gentechnisch veränderter Organismus
genetics	Genetik
genocide	Genozid ; Völkermord
genome	Genom ; Erbgut
genotoxicity	Gentoxizität
genotype	Genotyp
geo-referenced data	geographisch kodierte Daten
geo-referenced information	geographisch kodierte Information
geodesy	Geodäsie
geogenic factor	geogener Faktor
geographic information system	Geographisches Informationssystem
geographical distribution of population	geographische Verteilung der Bevölkerung
geographical projection	geographische Projektion
geography	Erdkunde ; Geografie ; Geographie
geological disaster	geologische Katastrophe
geological process	geologischer Prozess
geology	Geologie
geometric correction	geometrische Korrektur
geometry	Geometrie
geomorphic process	geomorphologischer Prozeß
geomorphology	Geomorphologie
geophysical environment	geophysikalische Umwelt
geophysics	Geophysik
geotechnics	Geotechnik
geotechnology	Geotechnologie
geothermal energy	Erdwärme
geranium	Geranie
germ	Keim ; Krankheitserreger
germ plasm	Keimplasma
germanium	Germanium
germination	Keimung
geyser	Geysir
giraffe	Giraffe
girl	Mädchen
glacier	Gletscher
glaciology	Gletscherforschung
gland	Drüse
glass	Glas
glass industry	Glasindustrie
glasses ; spectacles	Augengläser ; Brille
glaucoma	Glaukom
glaze	Glatteis
global aspect	globale Aspekte
global convention	globale Konvention
global model	Globalmodell
global warming	Treibhauseffekt-Potential ; Erderwärmung ; globale Erwärmung
glossary	Glossar
glue	Klebstoff ; Leim
glycolysis	Glykolyse
go	gehen ; gehen ; fahren ; fahren
goal of individual economic business	einzelwirtschaftliches Ziel
gold	Gold
golf	Golf
gong	Gong
gonorrhea	Gonorrhoe
good evening	guten Abend
good management	gute Verwaltung
goods	Güter
goods and services	Güter und Dienstleistungen
goose	Gans
gorilla	Gorilla
government (cabinet)	Kabinett ; Regierungskabinett
government advisory body	Regierungsberatungsorgan
government building	Regierungsgebäude
government liability	Staatshaftung
government policy	Regierungspolitik
governor	Gouverneur
grain	Getreide
graminaceous plant	Graspflanzen
grammer ; grammar	Grammatik ; Sprachlehre
grandchild	Enkel ; Enkelkind ; Kindeskind
grandfather	Großvater
grandson	Enkel ; Enkelsohn
granite	Granit
granulometry	Körnung
grape	Weintraube
grass	Gras
grass fire	Grasbrand
grasshopper	Heuschrecke
grassland	Grünland
gravel	Kies
gravel extraction	Kiesabbau
gravel pit	Kiesgrube
graviton	Graviton
grazing	Beweidung
green building	Öko-Haus
green corridor	Grünstreifen
green manure	Gründünger
green revolution	Grüne Revolution
green space	Grünfläche
green tide	Grünschlick
green vegetable	Blattgemüse
greenhouse cultivation	Unterglasanbau
greenhouse effect	Treibhauseffekt
greenhouse gas	Treibhausgas
gridding	Gitternetz
grinding	Zerkleinern
gross national product	Bruttosozialprodukt
groundwater	Grundwasser
groundwater endangering	Grundwassergefährdung
groundwater extraction	Grundwasserentnahme
groundwater pollution	Grundwasserverunreinigung
groundwater protection	Grundwasserschutz
groundwater quality	Grundwasserqualität
group behaviour	Gruppenverhalten
guillotine ; guillotine ; guillotine	Guillotine ; Guillotine ; Guillotine ; Fallbeil
guinea pig	Meerschweinchen
guitar	Gitarre
gulf	Golf
gull	Möwe ; Möve
gymnosperm	Nacktsamer
gypsum	Gips ; Calciumsulfat ; Kalziumsulfat
habitat	Habitat
habitat destruction	Zerstörung des Lebensraums
haematology	Hämatologie
haemorrhage ; bleeding	Blutung
hafnium	Hafnium
haiku	Haiku
hail	Hagel
hair	Haar
hairdresser ; barber	Friseur ; Friseur ; Friseur ; Friseuse ; Barbier
half-life	Halbwertszeit
hallucination	Halluzination
haloform	Haloform
halogenated biphenyl	Halogenbiphenyle
halogenated compound	Halogenverbindung
halogenated hydrocarbon	Halogenkohlenwasserstoff
halogenated phenol	Halogenphenole
halogenated pollutant	halogenierter Schadstoff
handicraft	Kunsthandwerk
handicraft business	Handwerksbetrieb ; Handwerksunternehmen
handkerchief	Taschentuch
harbour	Hafen
hard disk drive ; hard disk ; HD	Festplatte
hard-to-dispose-of waste	schwerentsorgbarer Abfall
hardness	Härte
harem	Harem
harmonisation of law	Rechtsvereinheitlichung
harpoon	Harpune
harvest	Ernte
hassium	Hassium
hate ; hatred	Hass
hazard	Gefahr ; Gefahren
hazard area	Gefahrenzone
hazard of pollutants	Gefahr durch Schadstoffe
hazardous chemical export	Ausfuhr gefährlicher Chemikalien ; Ausfuhr von gefährlichen Chemikalien
hazardous substance	Gefahrstoff
hazardous substances legislation	Gefahrstoffrecht
hazardous waste	gefährlicher Abfall
hazardous waste dump	Sonderabfalldeponie
hazardous working material	gefährlicher Arbeitsstoff
haze	Dunst
he	er
head	Haupt ; Kopf
headland	Landspitze ; Landzunge
headland	Ackerrandstreifen
health	Gesundheit
health care	Gesundheitsfürsorge
health care profession	medizinischer Beruf
health effect of noise	gesundheitliche Auswirkung von Lärm
health facility	Gesundheitseinrichtung
health hazard	Gesundheitsgefährdung
health legislation	Gesundheitsrecht
health regulation	Gesundheitsrecht
health service	Gesundheitsdienst
health-environment relationship	Gesundheit-Umweltbeziehung
health-related biotechnology	gesundheitsbezogene Biotechnologie
hearing	Gehör
hearing acuity	Hörschärfe
hearing impairment	Gehörschädigung
hearing procedure	Anhörungsverfahren
hearing protection	Gehörschutz
hearing system	Gehörorgan
heart	Herz
heat	Wärme
heat and power station	Heizkraftwerk
heat pump	Wärmepumpe
heat storage	Wärmespeicherung
heat supply	Wärmeversorgung
heater	Heizgerät
heathen ; infidel ; pagan	Heide ; Ungläubiger
heathland	Heide
heating	Heizung
heating plant	Heizwerk
heaven ; sky	Himmel ; Luft
heavy	schwer
heavy goods vehicle traffic	Schwerlastverkehr
heavy metal	Schwermetall
heavy metal load	Schwermetallbelastung
hedge	Hecke
hedgehog	Igel
hedonism	Hedonik ; Hedonismus
hegemony	Hegemonie ; Vorherrschaft ; Vormachtstellung
helicopter	Helikopter ; Hubschrauber
helium	Helium
hello ; hey ; hi ; howdy	Grüß Gott! ; Guten Tag! ; Guten Tag! ; hallo ; moin moin. ; Tag! ; moin moin
herbicide	Herbizid
herbivore ; plant eater	Herbivore ; Pflanzenfresser
here	hier
heroin	Heroin
heron	Reiher
heterocyclic compound	Heterozyklen
hierarchy	Hierarchie ; Rangordnung
high mountain	Hochgebirge
high tide water	Gezeitenhochwasser ; Flut
high voltage line	Hochspannungsleitung
high-rise building	Hochhaus
high-speed railway	Hochgeschwindigkeitsbahn ; Hochgeschwindigkeitsbahn ; Hochgeschwindigkeitsbahngleis
high-speed train	Hochgeschwindigkeitszug
higher education	Hochschulausbildung
highway	Fernstraße ; Landstraße ; öffentliche Straße
hiking trail	Wanderweg
historic centre	Altstadt
historical evolution	historische Entwicklung
historical monument	Baudenkmal
historical research	Geschichtsforschung
historical site	historischer Standort ; historische Stätte
historiography	Historiographie ; Historiografie
history	Geschichte
holiday ; opor-garai	Ferien ; Urlaub
holiday camp	Ferienlager
holmium	Holmium
home ; home ; house	Haus
home garden	Hausgarten
homeostasis	Selbstregulation
homepage	Homepage
homologation	Billigung
homonym	Homonym
honey	Honig ; Bienenhonig
hope	Hoffnung
horizon	Horizont ; Gesichtskreis
hormone	Hormon
horse	Pferd
horticulture	Gartenbau
hospital ; clinic	Hospital ; Klinik ; Krankenhaus ; Spital
hospital waste	Krankenhausabfall
hostage	Geisel
hot water	Warmwasser
hotel industry	Gastronomiebetriebe
hour	Stunde ; Uhr
household	Haushalt
household chemical	Haushaltschemikalien
household expenditure	Haushaltsausgaben
household goods	Haushaltsware
housing	Unterkunft
housing density	Wohndichte
housing improvement	Wohnverbesserung
housing legislation	Wohnrecht
housing programme	Wohnungsbauprogramm
housing quality standard	Wohnqualitätsnorm
huckleberry ; blueberry	Heidelbeere
human body	menschlicher Körper
human disease	menschliche Krankheit
human ecology	Humanökologie
human habitat	menschlicher Lebensraum
human health	menschliche Gesundheit
human migration	Bevölkerungsmigration
human physiology	Humanphysiologie
human population	Bevölkerung
human rights	Menschenrecht
human science	Humanwissenschaften
human settlement	Siedlung
human settlement management	Siedlungswirtschaft
human-made disaster	anthropogene Katastrophe ; menschengemachte Katastrophe
humanitarian aid	humanitäre Hilfe
humus	Humus
hundred	einhundert ; hundert
hunger ; hunger ; hunger	Hunger ; Hunger ; Hunger
hunting	Jagd
hunting licence	Jagdschein
hunting reserve	Jagdreservat
hurricane	Hurrikan
husband ; spouse	Ehegatte ; Ehegemahl ; Ehegespons ; Ehegespons ; Ehegespons ; Ehemann ; Gatte ; Gemahl ; Mann ; Ehegesponst ; Ehegesponst ; Ehepartner
hybridisation	Hybridisierung
hydraulic construction	Wasserbau
hydraulic engineering	Wasserbau
hydraulics	Hydraulik
hydrobiology	Hydrobiologie
hydrocarbon	Kohlenwasserstoff
hydrocarbon storage tank	Kohlenwasserstofftank
hydrochloric acid ; muriatic acid	Salzsäure
hydroculture	Hydrokultur
hydroelectric energy	hydroelektrische Energie
hydroelectric power plant	Wasserkraftwerk
hydrogen	Wasserstoff
hydrogen sulphide	Schwefelwasserstoff
hydrogeology	Hydrogeologie
hydrographic basin	hydrographisches Becken
hydrographic network	hydrographisches Netz
hydrography	Hydrographie
hydrologic balance	Wasserbilanz
hydrologic cycle	Wasserkreislauf
hydrologic disaster	Wasserkatastrophe
hydrologic flow	Wasserfluß
hydrology	Hydrologie
hydrolysis	Hydrolyse
hydrometeorology	Hydrometeorologie
hydrometry	Hydrometrie
hydrosphere	Hydrosphäre
hyena	Hyäne
hygiene	Hygiene
hymenopteran	Hautflügler
hypertext	Hypertext
hyponym ; narrower terms ; narrower term	engere Begriffe ; Hyponym ; Unterbegriff ; engerer Begriff
ice	Eis
ice cream	Eis ; Eiscreme ; Speiseeis ; Eiskrem ; Wassereis ; Milchspeiseeis ; Fruchtspeiseeis ; Softeis
ice hockey	Eishockey
ice pack	Packeis
iceberg	Eisberg
ideology	Ideologie
illiterate	Analphabet
image classification	Bildklassifikation
image enhancement	Bildverbesserung
image filtering	bildgebendes Filtern
image processing digital system	digitales Bildverarbeitungssystem
image registration	Bildüberlagerung
immission	Immission
immission control	Immissionsschutz
immission control law	Immissionsschutzgesetz
immission damage	Immissionsschaden
immission forecast	Immissionsprognose
immission limit	Immissionsgrenzwert
immission load	Immissionsbelastung
immune system	Immunsystem
immunity	Immunität
immunoassay	Immunoassay
immunological disease	Immunkrankheit ; immunologische Krankheit
immunology	Immunologie
impact assessment	Verträglichkeitsprüfung
impact minimisation	Wirkungsminimierung
impact prevention	Vorbeugung gegen Schadwirkungen
impact reversal	Aufhebung von Schadwirkungen
impact source	Wirkungsquellen
impactor	Impaktor
implementation law	Ausführungsgesetz
import	Einfuhr
import licence	Einfuhrlizenz
impoverishment	Verarmung
impregnating agent	Imprägnierungsmittel
impregnation	Imprägnierung
improvement of efficiency	Wirkungsgradverbesserung
impulsive noise	Impulsschall
in situ	in-situ
in vitro assay	in vitro-Test ; In-vitro-Test
in vivo assay	in vivo-Test ; In-vivo-Test
incentive fund	finanzieller Anreiz
incentive tax	Steueranreiz
incidental pollution	zufällige Verunreinigung
incineration	Verbrennung
incineration of waste	Abfallverbrennung
incineration residue	Verbrennungsrückstand
incinerator	Verbrennungsanlage ; Müllverbrennungsanlage
income	Einkommen
income tax	Einkommenssteuer ; Einkommensteuer
incorporation	Inkorporation
indefinite legal concept	unbestimmter Rechtsbegriff
indemnity	Schadenersatz
independence	Unabhängigkeit
index	Index
indexing of documentation	Dokumentenindexierung
indicator	Indikator ; Anzeiger
indicator of environmental quality	Umweltqualitätsindikator
indigenous knowledge	einheimisches Wissen
indigenous technology	einheimische Technologie
indirect discharger	Indirekteinleiter
indium	Indium
individual	Individuum
individual wastewater treatment	Einzelabwasserbehandlung
indoor air pollution	Luftverschmutzung von Innenräumen
indoor environment	Innenraum
industrial activity	Industrietätigkeit
industrial area	Industriegebiet
industrial association	Industrieverband
industrial building	Betriebsgebäude
industrial crop	Industriepflanze
industrial development	industrielle Entwicklung
industrial dumping	Industriehalde
industrial economics	Industrieökonomie
industrial effluent	Industrieabwasser
industrial emission	Industrieemission
industrial environment	Industrieumwelt
industrial environmental policy	Industrie-Umweltpolitik
industrial equipment	Industrieausrüstung
industrial installation	Industrieanlage
industrial legislation	Industrierecht
industrial manufacturing	industrielle Fertigung
industrial material	industrieller Stoff
industrial medicine	Arbeitsmedizin
industrial noise	Industrielärm
industrial planning	Industrieplanung
industrial plant (building) ; industrial plant	Industrieanlage
industrial plant (organism) ; industrial plant	Industriepflanze
industrial policy	Industriepolitik
industrial pollution	industriebedingte Umweltverschmutzung
industrial process	industrielle Verfahren ; industrielles Verfahren
industrial product	Industrieprodukt
industrial production	Industrieproduktion
industrial production statistics	Industrieproduktionsstatistik
industrial property right	Schutzrecht
industrial safety	Arbeitsschutz
industrial site	Industriestandort
industrial sludge	Industrieschlamm
industrial society	Industriegesellschaft
industrial structure	Industriestruktur
industrial waste	Industrieabfall
industrial waste gas	Industrieabgas
industrial waste water	Industrieabwasser
industrial wasteland	Industriebrachland
industrial zoning	Industrieansiedlung
industrialisation	Industrialisierung
industry	Industrie
inert waste	Inertabfall
inertisation	Inertisierung
infant	Kleinkind
infant mortality	Säuglingssterblichkeit
infection	Infektion
infectious disease	Infektionskrankheit
infectious disease ; communicable diseases	Infektionskrankheit
infestation of crops	Pflanzenbefall
infestation of food	Lebensmittelbefall
infiltration	Infiltration
inflammable substance	brennbarer Stoff
inflation	Inflation
inflow	Zufluss
influenza ; flu	Grippe ; Influenza
info ; information	Information
informal negotiation	Informales Verwaltungshandeln
informatics ; computer science ; information science	Informatik
information centre	Informationszentrum
information clearing-house	Informationsvermittlungsstelle
information exchange	Informationsaustausch
information infrastructure	Informationsinfrastruktur
information kit	Informationsausstattung
information network	Informationsnetz ; Datennetz
information processing	Informationsverarbeitung
information service	Informationsdienst
information source	Informationsquelle
information system	Informationssystem
information technology ; IT	Informationstechnologie ; IT
information technology industry	Datenverarbeitungsindustrie
information transfer	Informationstransfer
infraction	strafbare Handlung ; strafbare Handlung ; Verstoß ; Übertretung
infrared radiation	Infrarotstrahlen ; Infrarotstrahlung
infrasound	Infraschall
infrastructure	Infrastruktur
inhabitant	Bewohner
initial training	Erstausbildung
injury	Verletzung
ink	Druckfarbe ; Tinte
inland fishery	Binnenfischerei
inland navigation	Binnenschiffahrt
inland water	Binnengewässer
inland waterways transport	Binnengüterschiffahrt
innovation	Innovation ; Erfindung
inorganic chemistry	anorganische Chemie
inorganic fertiliser	Mineraldünger
inorganic pollutant	anorganischer Schadstoff
inorganic substance	anorganische Substanzen ; anorganische Substanz
insect	Insekt
insecticide	Insektizid
insectivore	Insektenfresser
insoluble substance	unlöslicher Stoff
inspection	Inspektion
inspection of records	Akteneinsicht
inspection service	Prüfdienst
installation optimisation	Anlagenoptimierung
installation requiring approval	genehmigungsbedürftige Anlage
installation restoration	Anlagensanierung ; Gebäudesanierung
instep	Spann ; Rist ; Fußrücken
institutional activity	Institutionelle Aktivität
institutional structure	Institutionelle Struktur
institutionalisation	Institutionalisierung
instrument ; musical instrument	Instrument ; Musikinstrument
instrument manufacture	Instrumentenherstellung
instrumentation	Instrumentierung
insulation	Isolierung
insurance	Versicherung
insurance business	Versicherungswirtschaft
insurance coverage	Versicherungsschutz
integral natural reserve	Integrales Naturreservat
integrated environmental protection technology	Integrierte Umweltschutztechnik
integrated management	Integriertes Management
integrated pest control	Integrierte Schädlingsbekämpfung
integrated pollution control	Integrierter Umweltschutz
intensive animal husbandry	Intensivtierhaltung
intensive farming	Intensivlandwirtschaft
inter-library loan	Fernleihe
interaction of pesticides	Pestizidwechselwirkung
interchange of electronic data	elektronischer Datenaustausch
interdisciplinary research	Interdisziplinäre Forschung
interest	Zins
interest group	Interessenverband
interim decision	Teilbescheid
interlaboratory comparison	Ringversuch
intermediate goods	Zwischenprodukt
intermittent noise	Intermittierendes Geräusch
internal European market	Europäischer Binnenmarkt
internal migration	Binnenwanderung
internalisation of external costs	Kosteninternalisierung
international agreement	Internationale Vereinbarung
international assistance	Internationale Hilfe
international balance	Internationales Gleichgewicht
international co-operation	Internationale Zusammenarbeit
international competitiveness	Internationale Wettbewerbsfähigkeit
international conflict	internationaler Konflikt
international convention	Internationale Übereinkommen
international distribution	Internationale Verteilung
international division of labour	Internationale Arbeitsteilung
international economic law	internationales Wirtschaftsrecht
international environmental relations	Internationale Umwelbeziehungen
international harmonisation	Internationale Harmonisierung
international law	Internationales Recht
international organisation	Internationale Organisation
international politics	Internationale Politik
international relations	Internationale Beziehungen
international safety	Internationale Sicherheit
international standardisation	Internationale Normierung
international trade	Internationaler Handel
international transaction	Internationaler Vergleich
international watercourse	Internationale Wasserstraße
internationally important ecosystem	International wichtiges Ökosstem ; international wichtiges Ökosystem
internet search service	Internet-Suchdienst
internet service provider ; ISP ; Internet access provider ; Internet service provider	Internet-Provider ; Provider
interpolation	Interpolation
interpretation method	Auswertungsverfahren
interpreter	tulkki ; Dolmetscher
intertidal zone	Tidebereich
intervention fund	Interventionsfonds
intervention in nature and landscape	Eingriff in Natur und Landschaft
intervention on land	Umweltschutzmaßnahmen auf dem Land
intoxication	Intoxikation
introduction of animal species	Einführung von Tierarten
introduction of plant species	Einführung von Pflanzenarten
inventory	Inventar
inventory of forest damage	Waldschadensinventur
inversion	Inversion ; Umkehrung
inversion layer	Inversionsschicht
invertebrate	Invertebraten
investment	Investition
iodine	Jod ; Iod
ion	Ion
ion exchange	Ionenaustausch
ion exchanger	Ionenaustauscher
ionising radiation	ionisierende Strahlung
ionosphere	Ionosphäre
iridium	Iridium
iron	Eisen
iron and steel industry	Eisen- und Stahlindustrie
iron industry	Eisenindustrie
iron scrap	Eisenschrott
ironwork industry	Eisenhüttenindustrie
irradiation	Bestrahlung
irreversibility of the phenomenon	Irreversibilität eines Phänomens
irrigation	Bewässerung
irrigation farming	Bewässerungslandbau
irrigation system	Bewässerungsanlage
island ; isle	Eiland ; Insel
island ecosystem	Inselökosystem
isomer	Isomer
isotope	Isotop
ivory	Elfenbein
jackal	Schakal
jade	Jade
jaguar	Jaguar
jazz	Jazz
joint ; articulation	Gelenk
joint debtor	Gesamtschuldner
joint implementation	gemeinsame Umsetzung
journal ; mag ; magazine ; periodical	Zeitschrift ; Magazin ; Illustrierte
journalism	Journalismus
journalist	Journalist ; Reporter
judgement (sentence) ; sentence ; judgement	Gerichtsurteil
judicial assistance	Amtshilfe
judicial body	Rechtsorgan
judicial system	Rechtssystem
judiciary rule	Gerichtsregelung
judo	Judo
juridical act	Rechtsakt
jurisdiction	Rechtsprechung ; Jurisdiktion
jurisprudence	Jura ; Rechtswissenschaft
justice	Recht
karate	Karate
karst	Karstgebiet
kerosene	Kerosin
kettle	Kessel
keyboard	Tastatur
kidney	Niere
kilogram	Kilogramm
kleptomania	Kleptomanie
knife	Messer
knight ; knight	Pferd ; Springer ; Ross ; Rössel
kokosnoot ; coconut	Kokosnuss
krypton	Krypton
labelling	Kennzeichnung
laboratory	Laboratorium
laboratory experiment	Laborversuch
laboratory research	Laboruntersuchung
laboratory technique ; laboratory techniques	Labortechnik
laboratory test	Laborversuch
laboratory waste	Laboratoriumsabfall
labour	Arbeit
labour force	Arbeitskräfte
labour law	Arbeitsrecht
labour market	Arbeitsmarkt
labour relations	Arbeitsverhältnisse
lacquer	Lack
lagoon	Lagune
lagooning	Schlammteichverfahren
lake	See
lake basin	Seebecken
lake pollution	Seenverunreinigung
lamp ; light	Lampe
land	Land
land allotment	Flächenwidmung ; Parzellierung
land clearing	Rodung
land conservation	Landespflege
land consolidation	Flurbereinigung
land cover	Landbedeckung
land development	Landesentwicklung
land disposal	Endlagerung im Boden
land ecology	Bodenökologie
land forming	Bodengestaltung
land mammal	Landsäugetier
land management and planning	Raumordnung und -planung
land occupation	Flächennutzung
land planning	Landplanung
land pollution	Bodenverunreinigung
land reclamation	Rekultivierung
land register	Kataster
land restoration	Bodensanierung
land restoration in mountain areas	Bodensanierung in Bergregionen
land setup	Flächenstruktur
land tax	Grundstückssteuer ; Grundsteuer
land transportation	Überlandtransport
land use	Flächennutzung
land use classification	Flächennutzungsklassifikation
land use plan	Flächennutzungsplan
land use planning	Flächennutzungsplanung
land use regime	Flächennutzungsverwaltung
land value	Bodenwert
land-based activity	terrestrische Aktivität
land-based marine pollution	terrestrische Meeresverunreinigung
land-management intervention area	Eingriff in die Raumordnung
landfill	Deponie
landfill base sealing	Deponiebasisabdichtung
landfill covering	Deponieabdeckung
landfill degasification	Deponieentgasung
landfill gas	Deponiegas
landfill leachate	Deponiesickerwasser
landform	geographische Form
landscape	Landschaft
landscape after mining	Bergbaufolgelandschaft
landscape alteration	Landschaftsveränderung
landscape architecture	Landschaftsarchitektur
landscape component	Landschaftselement
landscape conservation	Landschaftsschutz
landscape conservation policy	Landschaftspflege
landscape consumption	Landschaftsverbrauch
landscape ecology	Landschaftsökologie
landscape management	Landschaftspflege
landscape planning	Landschaftsplanung
landscape protection	Landschaftsschutz
landscape protection area	Landschaftsschutzgebiet
landscape utilisation	Landschaftsnutzung
landslide	Erdrutsch
language	Sprache ; Zunge
lantern	Laterne
lanthanum	Lanthan
large combustion plant	Grossfeuerungsanlage ; Großfeuerungsanlage
laser ; Light Amplification by Stimulated Emission of Radiation	Laser
latitude	Breitengrad ; geografische Breite
laugh	lachen
laundering	Wäsche
lavender ; lavander	Lavandel ; Lavendel
law	Gesetz
law	Recht
law ; law (science)	Jura ; Rechtswissenschaft
law amendment	Gesetzesnovellierung
law branch	Rechtsgebiet
law draft	Gesetzentwurf
law enforcement	Gesetzesvollzug
law relating to prisons	Strafvollzugsrecht
lawrencium	Lawrencium
lawyer	Rechtsanwalt ; Advokat ; Anwalt
leaching	Auswaschung
lead	Blei
lead compound	Bleiverbindung
lead level in blood	Blutbleispiegel
lead-in-petrol law	Benzinbleigesetz
leaf	Blatt
leakage	Leckage
leap year	Schaltjahr
learn	lernen
lease	Mietvertrag
leather	Leder
leather industry	Lederindustrie
leg	Bein
legal basis	Rechtsgrundlage
legal form of organisations	Rechtsform einer Gesellschaft
legal procedure	Gerichtsverfahren
legal profession	Organ der Rechtspflege ; juristische Berufe
legal regulation	Rechtsverordnung
legal remedy	Rechtsbehelf
legal system	Rechtssystem
legal text	Rechtsdokument
legally protected right	Rechtsgut
legislation	Gesetzgebung
legislation on pollution	Umweltschutzrecht
legislative authority	Gesetzgeber
legislative competence	Gesetzgebungskompetenz
legislative information	Gesetzesinformation
legislative procedure	Gesetzesinitiative
legislature	Legislative
leisure activity	Freizeitbereich ; Freizeitbeschäftigung
leisure centre	Erholungsanlage
leisure time	Freizeit
lemon	Zitrone
lens	Linse
lentil	Linse
leopard	Leopard ; Panther
